2025-05-21 02:14:16 | item_name: Lomi | category: Lomi | price: 70 | description: Regular
2025-05-21 02:18:07 | item_name: Lomi | category: Lomi | price: 80 | description: Overload
2025-05-21 02:18:58 | item_name: Lomi | category: Lomi | price: 60 | description: Overload
2025-05-21 02:20:55 | item_name: Pansit Canton Guisado | category: Short Order | price: 170 | description: Short Order
2025-05-21 02:33:58 | item_name: Tapsilog | category: Silog Meal | price: 90 | description: Silog Meal
2025-05-21 02:40:54 | item_name: Hotsilog | category: Silog Meal | price: 65 | description: Hot Silog
2025-05-21 02:50:53 | item_name: Lomi | category: Lomi | price: 25 | description: Lomi
2025-05-21 02:52:15 | item_name: Lomi | category: Lomi | price: 25 | description: Regular
2025-05-21 02:58:50 | item_name: Lomi | category: Lomi | price: 70 | description: Jumbo
2025-05-21 03:00:01 | item_name: Lomi | category: Lomi | price: 35 | description: Speacial
2025-05-21 03:04:03 | item_name: Pansit Bihon Guisado | category: Short Order | price: 160 | description: Short Order
2025-05-21 03:07:09 | item_name: Pansit Mix Guisado | category: Short Order | price: 180 | description: Pansit
2025-05-21 03:08:58 | item_name: Lugaw | category: Lugaw | price: 20 | description: P.Lugaw
2025-05-21 03:09:44 | item_name: Lugaw | category: Lugaw | price: 35 | description: Lugaw W/Egg
2025-05-21 03:10:52 | item_name: Lugaw | category: Lugaw | price: 50 | description: Goto Lugaw W / Egg
2025-05-21 03:17:43 | item_name: Pork Silog | category: Silog Meal | price: 90 | description: Pork
2025-05-21 03:18:49 | item_name: Chix Silog | category: Silog Meal | price: 90 | description: Chixs
2025-05-21 03:19:34 | item_name: Long Silog | category: Silog Meal | price: 65 | description: Long
2025-05-21 03:20:30 | item_name: Silog | category: Silog Meal | price: 45 | description: Silog
2025-05-21 03:21:29 | item_name: Bang Silog | category: Silog Meal | price: 80 | description: Bang
2025-05-21 03:22:30 | item_name: Somai Rice | category: Silog Meal | price: 50 | description: Somai
2025-05-21 03:23:18 | item_name: Shanghai Rice | category: Silog Meal | price: 50 | description: Shanghai
2025-05-21 03:24:42 | item_name: Sisig | category: Lutong Ulam | price: 70 | description: Sisig
2025-05-21 03:26:19 | item_name: Dinuguan | category: Lutong Ulam | price: 50 | description: Dinuguan
2025-05-21 03:27:26 | item_name: Caldereta | category: Lutong Ulam | price: 60 | description: Yummy
2025-05-21 03:28:14 | item_name: Adobo | category: Lutong Ulam | price: 50 | description: ama
2025-05-21 03:28:50 | item_name: Menudo | category: Lutong Ulam | price: 50 | description: sdada
2025-05-21 03:30:31 | item_name: Ampalaya | category: Lutong Ulam | price: 50 | description: sada
2025-05-21 03:31:08 | item_name: Laing | category: Lutong Ulam | price: 50 | description: sda
2025-05-21 03:31:46 | item_name: Tinola | category: Lutong Ulam | price: 50 | description: dsad
2025-05-23 09:04:33 | item_name: Paksiw | category: Lutong Ulam | price: 50 | description: Paksiw
